frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
330,77.408,-0.0016,-0.98,4.844,-0.0179,0.047,0.0,AUTO
331,77.504,-0.0016,-0.67,4.806,-0.0124,0.058,0.0,AUTO
332,77.604,-0.0016,-0.38,4.791,-0.0072,0.063,0.0,AUTO
333,77.706,-0.0016,-0.14,4.796,-0.0031,0.061,0.0,AUTO
334,77.87,-0.0016,0.02,4.823,-0.0003,0.053,0.0,AUTO
335,77.97,-0.0016,0.11,4.857,0.0013,0.043,0.0,AUTO
336,78.077,-0.0016,0.14,4.883,0.0018,0.035,0.0,AUTO
337,78.237,-0.0016,0.14,4.902,0.0017,0.029,0.0,AUTO
338,78.372,-0.0016,0.11,4.915,0.0012,0.025,0.0,AUTO
339,78.469,-0.0016,0.07,4.924,0.0006,0.023,0.0,AUTO
340,78.575,-0.0016,0.04,4.929,0.0,0.021,0.0,AUTO
341,78.674,-0.0016,0.01,4.946,-0.0004,0.016,0.0,AUTO
342,78.772,-0.0016,-0.0,4.954,-0.0007,0.014,0.0,AUTO
343,78.905,-0.0016,-0.01,4.976,-0.0009,0.007,0.0,AUTO
344,79.007,-0.0016,-0.02,4.984,-0.0009,0.005,0.0,AUTO
345,79.108,-0.0016,-0.02,5.004,-0.0009,0.0,0.001,AUTO
346,79.237,-0.0016,-0.01,5.03,-0.0009,0.0,0.009,AUTO
347,79.341,-0.0016,-0.01,5.054,-0.0008,0.0,0.016,AUTO
348,79.505,-0.0016,-0.0,5.059,-0.0007,0.0,0.018,AUTO
349,79.605,-0.0016,-0.0,5.069,-0.0007,0.0,0.021,AUTO
350,79.704,-0.0016,0.0,5.067,-0.0006,0.0,0.02,AUTO
351,79.808,-0.0016,0.0,5.055,-0.0006,0.0,0.017,AUTO
